,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
293,Godrej, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 34.5 dB,Power Consumption: 865.83 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and Condenser Coil Warranty and 10 Years on Compressor from Godrej,"1,178",150,4.3,"₹39,999","₹54,900"
294,Hitachi, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 36 dB,Power Consumption: 1099 kWh,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹41,990","₹57,990"
296,Godrej, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1785 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹33,999","₹54,900"
297,Whirlpool, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 35 dB,Power Consumption: 1660 W,Refrigerant: R32A,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor from Whirlpool",695,76,4.2,"₹33,599","₹41,300"
298,Blue Star, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 47 dB,Power Consumption: 1760 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Blue Star,30,0,4,"₹36,399","₹48,500"
300,Blue Star, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 56 dB,Power Consumption: 1167 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,15,2,4.2,"₹32,900","₹37,500"
301,Nokia 4 in 1 Convertible Cooling, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 685.3 kWh,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,208,30,4.2,"₹26,999","₹46,199"
302,Hitachi, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 50 dB,Power Consumption: 1575 W,,Wi-Fi Enabled: No,1 Year on Complete Unit and 5 Years on Compressor,"2,088",249,4.2,"₹33,999","₹34,790"
304,CARRIER Flexicool Convertible 4-in-1 Cooling, 2 Ton, 3 Star,split inverter ,,Copper,Noise level: 39 dB,Power Consumption: 2010 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,599,64,4.2,"₹52,999","₹78,890"
305,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 28 dB,Power Consumption: 1315 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Daikin,27,2,4.5,"₹54,990","₹66,200"
306,Lloyd, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 57 dB,Power Consumption: 1440 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product 5 Years on Compressor Manufacturer Warranty from Lloyd,14,1,4.3,"₹35,999","₹70,990"
308,Godrej, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 60 dB,Power Consumption: 1840 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year On Product and Condenser Coil Warranty and 5 Years On Compressor from Godrej,109,13,4.3,"₹32,490","₹61,900"
309,SAMSUNG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 49 dB,Power Consumption: 1380 W,Refrigerant: R - 32,Wi-Fi Enabled: Yes,1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung,62,10,4.2,"₹41,490","₹67,990"
310,Voltas, 1.5 Ton,,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹35,999","₹61,990"
312,Blue Star, 1 Ton, 3 Star,split inverter ,"Silver, White",Copper,Noise level: 50 dB,Power Consumption: 1122 W,Refrigerant: R 32A,Wi-Fi Enabled: No,"1 Year on Product and Condenser, 10 Years on Compressor from Blue Star",53,5,4.4,"₹34,500","₹45,000"
313,Panasonic, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 588.97 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compresser,7,1,4.9,"₹35,900","₹48,500"
314,Panasonic, 1.5 Ton,,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹36,990","₹57,990"
316,LG, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 1600 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor From LG,nan,,,"₹37,990","₹68,990"
317,Lloyd, 1.5 Ton, 3 Star,split expandable ,White,Copper,Noise level: 42 dB,Power Consumption: 1119.36 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From Lloyd,788,68,4.1,"₹32,000","₹52,990"
318,Panasonic, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1122.45 W,,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor from Panasonic,nan,,,"₹40,989","₹55,000"
320,Blue Star, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1060 W,Refrigerant: R - 35,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,219,20,3.8,"₹34,490","₹53,990"
321,Whirlpool, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 758.86 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Whirlpool,9,0,4.6,"₹29,990","₹46,950"
322,Godrej, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1128.49 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year On Product and Condenser Coil Warranty and 10 Years On Compressor from Godrej,425,59,4.3,"₹33,399","₹48,900"
324,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1700 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹35,490","₹57,990"
325,SAMSUNG, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 42 dB,Power Consumption: 1860 W,,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on Compressor",16,3,4.5,"₹34,890","₹45,000"
326,Panasonic, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 47 dB,Power Consumption: 1015.62 W,,Wi-Fi Enabled: No,"1 Year on Product, 5 Year on PCB and 5 Years on Compressor from Panasonic",nan,,,"₹35,999","₹53,000"
328,Lloyd, 1 Ton, 3 Star,split ,White,Copper,Noise level: 38 dB,Power Consumption: 1445 W,,Wi-Fi Enabled: No,1 Year Warranty and 1 Year Compressor Warranty on Lloyd,32,3,4.3,"₹29,790","₹41,990"
329,Blue Star, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 34 dB,Power Consumption: 1456 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor,nan,,,"₹40,762","₹52,750"
330,Croma, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 54 dB,Power Consumption: 1590 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Condenser and 5 Years on Compressor",3,1,1.7,"₹27,490","₹36,000"
332,SAMSUNG 5 in 1 convertible cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1560 W,Refrigerant: R32,Wi-Fi Enabled: Yes,5 Years Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹39,900","₹63,990"
333,Haier, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 41 dB,Power Consumption: 1089.14 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 12 Years on Compressor from Haier,nan,,,"₹35,490","₹59,500"
334,Panasonic, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 915 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹33,490","₹51,990"
336,Daikin, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1670 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹40,990","₹58,400"
341,Croma, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 52 dB,Power Consumption: 1420 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Machine 5 Years on Compressor From Croma,38,8,3.8,"₹30,990","₹42,000"
342,MOTOROLA, 1.5 Ton, 3 Star,split dual inverter smart,Silver,Copper,Noise level: 30 dB,Power Consumption: 1101.4 W,Refrigerant: R32A,Wi-Fi Enabled: Yes,1 year on product and 10 years on compressor,"1,165",177,4.3,"₹32,990","₹49,299"
344,Lloyd, 1.5 Ton, 3 Star,window ,White,,Noise level: 52 dB,Power Consumption: 1676 W,Refrigerant: R-221 ,,,212,30,4.2,"₹28,899","₹30,000"
345,Lloyd, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 59 dB,Power Consumption: 2170 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Llyod",nan,,,"₹48,900","₹73,990"
346,Lloyd ., 1.5 Ton, 5 Star,split inverter ,White,Copper,,,,Wi-Fi Enabled: No,1 Year Comrehensive Warranty and 10 Years Warranty on Compressor from Lloyd,20,1,4.3,"₹41,900","₹60,990"
348,Daikin, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1600 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹44,690","₹61,500"
349,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1660 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹46,899","₹66,900"
350,LG, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 5500 W,Refrigerant: R - 32,Wi-Fi Enabled: Yes,"1 Year on Product, 5 Years on PCB and 10 Years on Compressor from LG",nan,,,"₹42,490","₹72,990"
352,Blue Star, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 43.7 dB,Power Consumption: 2025 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor,nan,,,"₹52,900","₹71,900"
353,LG, 2 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 34 dB,Power Consumption: 2090 W,Refrigerant: R32,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*",79,5,4.5,"₹48,990","₹63,990"
354,SAMSUNG, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 760 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹36,990","₹55,990"
356,Croma, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 49 dB,Power Consumption: 1430 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Compressor and 5 Years on Condenser",nan,,,"₹32,990","₹40,000"
357,MarQ By Flipkart, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 60 dB,Power Consumption: 1520 W,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"1,333",189,4.2,"₹25,499","₹31,999"
358,SAMSUNG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1240 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,nan,,,"₹46,564","₹65,990"
360,SAMSUNG 5 in 1 convertible cooling, 1.5 Ton, 3 Star,split inverter ,"White, Blue",Copper,Noise level: 31 dB,Power Consumption: 1700 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Standard Warranty on Product and 10 Years on Compressor,nan,,,"₹35,999","₹57,990"
361,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 1663 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 10 Years Warranty on Compressor From Blue Star,9,0,4,"₹36,900","₹54,500"
362,MarQ By Flipkart, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 32.5 db,Power Consumption: 1110 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,"13,756","1,947",4.3,"₹22,490","₹39,999"
364,Haier, 1.5 Ton, 4 Star,split inverter ,White,Copper,Noise level: 59 dB,Power Consumption: 1630 W,,Wi-Fi Enabled: No,1 Year on Product and 12 Years on Compressor from Haier,nan,,,"₹35,499","₹62,000"
365,Voltas, 1.5 Ton, 5 Star,split inverter ,"White, Black",Copper,Noise level: 45 dB,Power Consumption: 1430 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Voltas,316,35,4.1,"₹39,100","₹69,990"
366,MarQ By Flipkart, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 1195 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from MarQ by Flipkart,"4,401",520,4.2,"₹24,990","₹39,999"
368,Blue Star, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 34 dB,Power Consumption: 1456 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor,nan,,,"₹37,990","₹52,500"
369,Lloyd, 1.5 Ton, 5 Star,window inverter ,White,Copper,Noise level: 53 dB,Power Consumption: 1149.83 kWh,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From Lloyd,5,0,3.6,"₹36,790","₹47,990"
370,SAMSUNG 5 in 1 convertible cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1560 W,Refrigerant: R32,Wi-Fi Enabled: Yes,5 Years Comprehensive Warranty on Product and 10 Years on Compressor,nan,,,"₹39,390","₹63,990"
372,Blue Star, 1.5 Ton, 5 Star,split inverter ,"White, Brown",Copper,Noise level: 46 dB,Power Consumption: 1450 W,Refrigerant: R 32,Wi-Fi Enabled: No,"1 Year on Product and Condenser, 10 Years on Compressor from Blue Star",231,40,4.4,"₹48,000","₹63,000"
373,Panasonic, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 915 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹37,249","₹53,400"
374,LG, 1 Ton, 3 Star,split dual inverter ,"White, Maroon",Copper,Noise level: 21 dB,Power Consumption: 1080 W,Refrigerant: R32,Wi-Fi Enabled: No,"10 Years on Compressor with free gas recharge*, 5 Years on PCB*",240,37,4.3,"₹35,490","₹47,990"
376,Haier, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 26 dB,Power Consumption: 732 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 12 Years on Compressor,nan,,,"₹32,990","₹59,490"
377,Whirlpool, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 35 dB,Power Consumption: 1660 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool",131,22,4,"₹32,899","₹53,950"
378,Lloyd, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1370 W,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year Comrehensive Warranty and 10 Years Warranty on Compressor from Lloyd,456,52,4.2,"₹42,900","₹60,990"
380,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 818.81 kWh,Refrigerant: R32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",nan,,,"₹50,990","₹79,990"
381,SAMSUNG, 1 Ton, 3 Star,split inverter ,White,Aluminium,Noise level: 48 dB,Power Consumption: 1060 W,,Wi-Fi Enabled: No,5 Years on Condenser and 10 Years on Compressor,33,3,4.4,"₹39,490","₹39,800"
382,Whirlpool, 1.5 Ton, 3 Star,split inverter ,"White, Grey",Copper,Noise level: 37 dB,Power Consumption: 1890 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year on Unit 10 Years on Compressor from Whirlpool,734,114,4.2,"₹34,990","₹52,300"
384,Daikin, 1 Ton, 3 Star,split ,White,Copper,Noise level: 51 dB,,Refrigerant: R-32,Wi-Fi Enabled: No,1 Year on Total Unit and 5 Years on Compressor,152,20,4.2,"₹36,990","₹39,000"
385,SAMSUNG, 1 Ton, 5 Star,split inverter ,White,Aluminium,Noise level: 49 dB,Power Consumption: 920 W,,Wi-Fi Enabled: No,5 Years on Condenser and 10 Years on Compressor,26,4,4.2,"₹46,490","₹47,670"
386,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 43.6 dB,Power Consumption: 1600 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹38,990","₹62,000"
388,TOSHIBA, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 41 dB,Power Consumption: 1800 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor from Date of Purchase,16,4,4.4,"₹35,000","₹45,100"
389,Daikin, 1 Ton, 4 Star,split inverter ,White,Copper,Noise level: 27 dB,Power Consumption: 1200 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹34,613","₹48,200"
390,TCL 4 in 1 Convertible Cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1790 W,Refrigerant: R-32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,427,68,4.3,"₹27,999","₹44,990"
392,Hitachi, 1.5 Ton, 5 Star,split inverter ,"White, Gold",Copper,Noise level: 37 dB,Power Consumption: 897.84 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Complete Product and 10 Years on Compressor,"1,672",175,4,"₹41,999","₹66,600"
393,Daikin, 1.8 Ton, 4 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 1950 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹50,990","₹73,000"
394,Whirlpool 4 in 1 Convertible Cooling, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 1029.65 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool","2,048",290,4.2,"₹33,490","₹62,200"
396,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 47 db,Power Consumption: 848.28 W,Refrigerant: R-32,Wi-Fi Enabled: Yes,"1 Year Comprehensive Warranty on Product, 4 Years on PCB and ODU Casing and 9 Years On Compressor",122,25,4.3,"₹49,990","₹66,000"
397,Croma, 1.4 Ton, 3 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1625 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Years on Condenser and 10 Years on Compressor",nan,,,"₹31,990","₹45,000"
400,CARRIER, 2 Ton, 3 Star,window ,White,Copper,Noise level: 55 dB,Power Consumption: 1925 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,15,0,3.7,"₹38,990","₹39,990"
401,LG, 1.5 Ton, 5 Star,split dual inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 818.32 kWh,Refrigerant: R32A,Wi-Fi Enabled: Yes,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging",nan,,,"₹56,990","₹84,990"
402,Blue Star, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 62 dB,Power Consumption: 975.37 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Inverter Compressor,"1,440",182,4.2,"₹38,990","₹55,990"
404,Hitachi, 1.5 Ton,,split expandable ,White,,,,,Wi-Fi Enabled: No,,4,0,3.8,"₹35,999","₹47,690"
405,Midea, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 42 dB,Power Consumption: 1800 W,Refrigerant: R410A,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,"8,216","1,203",4.3,"₹28,990","₹52,500"
406,Daikin, 1 Ton, 5 Star,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹36,990","₹46,100"
408,Croma, 1 Ton, 5 Star,split inverter ,White,Copper,Noise level: 44 dB,Power Consumption: 955 W,Refrigerant: R - 32,Wi-Fi Enabled: No,1 Year on Product and 10 Years on Compressor,nan,,,"₹33,490","₹40,000"
409,ONIDA, 1.5 Ton, 3 Star,split dual inverter ,White,Copper,Noise level: 51 dB,Power Consumption: 1820 W,,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor from Onida,32,3,4.6,"₹31,499","₹53,490"
410,IFB, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 30 db,Power Consumption: 732.29 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 year warranty on product + 5 years on ODU PCB, 10 years on compressor","1,889",305,4.4,"₹32,890","₹42,190"
412,Panasonic, 2 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 1770 W,,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor,nan,,,"₹62,856","₹82,400"
413,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 48 dB,Power Consumption: 1350 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive and 10 Years on Compressor Warranty from Panasonic,152,22,4.5,"₹47,000","₹57,500"
414,Panasonic, 2 Ton, 3 Star,split ,White,Copper,Noise level: 50 dB,Power Consumption: 1710 W,Refrigerant: R-22A,Wi-Fi Enabled: No,1 Year on the Product and 4 Years on the Compressor,10,0,3.6,"₹47,500","₹59,100"
416,SAMSUNG, 1.5 Ton, 3 Star,split inverter ,White,Alloy,Noise level: 52 dB,Power Consumption: 1860 W,Refrigerant: R410A,Wi-Fi Enabled: No,"1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty",30,7,4.8,"₹56,500","₹62,900"
417,Panasonic, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 46 dB,Power Consumption: 840.75 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",4,0,4.8,"₹38,690","₹57,000"
418,Voltas, 1 Ton, 3 Star,split ,White,Copper,Noise level: 46 dB,Power Consumption: 1002 W,Refrigerant: R-22A,Wi-Fi Enabled: No,1 Year Manufacturer Warranty from Voltas,447,45,4.1,"₹33,990","₹41,690"
420,Lloyd, 1.5 Ton,,split inverter ,White,,,,,Wi-Fi Enabled: No,,nan,,,"₹36,490","₹59,990"
421,LG, 1 Ton, 3 Star,split inverter ,White,Copper,,,Refrigerant: R-410A,Wi-Fi Enabled: No,1 year on Product and 10 Years on Compressor.,77,13,4.4,"₹34,000","₹40,990"
422,Haier, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 40 dB,Power Consumption: 1440 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",37,3,4.1,"₹40,990","₹64,000"
424,CARRIER, 1.5 Ton, 5 Star,window ,White,Copper,Noise level: 52 dB,Power Consumption: 1560 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty and Additional 4 Years on Compressor,4,1,5,"₹36,990","₹37,990"
425,LG, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 31 dB,Power Consumption: 5800 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Year on PCB, 10 Year on Compressor",nan,,,"₹43,990","₹65,990"
426,Voltas, 1 Ton, 3 Star,split inverter ,"White, Red",Copper,Noise level: 44 dB,Power Consumption: 1155 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,16,2,3.8,"₹29,990","₹48,990"
428,Intex, 1.5 Ton, 3 Star,window ,White,Copper,Noise level: 56 dB,Power Consumption: 1680 W,Refrigerant: R-22,Wi-Fi Enabled: No,"1 Year Comprehensive, 10 Years on Compressor, 5 Years on Coils Warranty from Intex",8,0,3.6,"₹23,500","₹25,000"
429,IFB, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 38 db,Power Consumption: 853.68 kWh,Refrigerant: R32A,Wi-Fi Enabled: No,"1 year warranty on product + 5 years on ODU PCB, 10 years on compressor",538,87,4.4,"₹43,990","₹55,490"
430,SAMSUNG, 1 Ton, 5 Star,split inverter ,White,Alloy,Noise level: 48 dB,Power Consumption: 930 W,,Wi-Fi Enabled: No,"1 Year on Product, 10 Years Compressor and 5 Years Condensor Warranty",14,3,4.2,"₹43,500","₹51,240"
432,Panasonic, 2 Ton, 3 Star,split inverter ,White,Copper,Noise level: 50 dB,Power Consumption: 1870 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 Year Comprehensive and 10 Years on Compressor Warranty from Panasonic,24,1,4.5,"₹54,500","₹67,000"
433,Whirlpool, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 30 dB,Power Consumption: 1140 W,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",nan,,,"₹29,990","₹45,000"
434,Lloyd, 2 Ton, 3 Star,split ,White,Copper,Noise level: 43 dB,Power Consumption: 1386.43 kWh,,Wi-Fi Enabled: No,1 Year on Product and 5 Years on Compressor,nan,,,"₹49,887","₹68,990"
436,Lloyd, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 32 dB,Power Consumption: 778.48 kWh,Refrigerant: R-32,Wi-Fi Enabled: Yes,1 Year Comprehensive Warranty on AC and 10 Years on Compressor From Lloyd,5,1,3.2,"₹34,580","₹53,990"
437,Whirlpool, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 37 dB,Power Consumption: 2100 W,,Wi-Fi Enabled: No,"1 Year on Comprehensive Unit , 10 years on compressor & 1 year on condensor",17,2,4.3,"₹42,000","₹65,000"
438,Daikin, 1.8 Ton, 3 Star,split inverter ,White,Copper,Noise level: 47 dB,Power Consumption: 1202.77 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compresser,nan,,,"₹48,999","₹66,000"
440,O General, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 52 dB,Power Consumption: 1580 W,,Wi-Fi Enabled: No,1 Year Comprehensive Warranty on AC and 5 Years on Compressor From O-General,nan,,,"₹60,990","₹70,000"
441,LG, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 21 dB,Power Consumption: 3650 W,Refrigerant: R - 32,Wi-Fi Enabled: No,"1 Year on Product, 5 Year on PCB, 10 Year on Compressor",nan,,,"₹33,990","₹57,990"
442,Daikin, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 38 dB,Power Consumption: 999 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Product and Condenser and 5 Years on Compressor,21,2,4.4,"₹46,999","₹55,000"
