,Brands,Ton,Star,Type,Color,Condenser_Coil,Noise(dB),Power_Consumption,Refrigerant,Wi_Fi Enabled,Warranty,Ratings_Count,Reviews_Count,Avg_star,Offer_Price,Actual_Price
681,LIVPURE, 1 Ton, 3 Star,split inverter smart,White,Copper,Noise level: 45 dB,Power Consumption: 1080 W,Refrigerant: R32A,Wi-Fi Enabled: Yes,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor","2,581",577,4.2,"₹37,990","₹38,990"
682,Whirlpool, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 43 dB,Power Consumption: 1365 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compressor,8,0,4.8,"₹39,990","₹66,950"
684,Whirlpool 4 in 1 Convertible Cooling, 1 Ton, 3 Star,split inverter ,White,Copper,Noise level: 45 dB,Power Consumption: 669.58 W,Refrigerant: R-32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool","2,048",290,4.2,"₹29,999","₹53,100"
685,Hitachi, 2 Ton, 2 Star,window ,White,Copper,Noise level: 48 dB,Power Consumption: 1703.04 W,Refrigerant: R32A,Wi-Fi Enabled: No,1 years Comprehensive warranty,nan,,,"₹40,852","₹45,500"
686,Hitachi, 1.5 Ton, 3 Star,split ,White,Copper,Noise level: 36 dB,Power Consumption: 1495 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year on Complete Unit and 5 Years on Compressor From Hitachi,959,157,4.2,"₹39,490","₹47,690"
688,Daikin, 1.5 Ton, 5 Star,split inverter ,White,Copper,Noise level: 47 dB,Power Consumption: 756.78 kWh,,Wi-Fi Enabled: No,1 Year Warranty on Product and 10 Years on Compresser,18,1,4.2,"₹45,990","₹63,000"
689,Haier, 1 Ton, 3 Star,split inverter ,"White, Brown",Copper,Noise level: 40 dB,Power Consumption: 1200 W,,Wi-Fi Enabled: No,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor",nan,,,"₹40,431","₹68,500"
690,Panasonic, 1.5 Ton, 3 Star,split inverter ,White,Copper,Noise level: 47 dB,Power Consumption: 1015.62 kWh,Refrigerant: R32,Wi-Fi Enabled: No,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor",4,0,2.8,"₹35,170","₹53,000"
692,White Westing House, 1 Ton, 3 Star,split ,White,Copper,Noise level: 43 dB,Power Consumption: 960 W,Refrigerant: R32,Wi-Fi Enabled: No,1 Year Warranty on Product and 5 Years on Compressor,nan,,,"₹33,999","₹41,990"
693,SAMSUNG, 1 Ton, 3 Star,split ,White,Alloy,Noise level: 21 dB,Power Consumption: 1060 W,,Wi-Fi Enabled: No,"1 Year on Product, 10 Years on Digital Inverter Compressor, 1 Year Warranty on Copper Condenser Models and 2 Years on PCB Controller from Samsung",nan,,,"₹53,900",
